name	kind	style	score	score_counts	first_release_time	play_status	official_name	tv_station	school	language	station_ranking	level	resource_views	collect_counts	translator	scenarist	starring	alias	director	cycle	area	company	imdb
杀手电影	电影	剧情/喜剧/恐怖	7.6		2009-02-03 周二		Killer Movie			英语	5684				暂无						美国		
威尼斯神偷	电影	冒险	6.0		2006-01-05 周四		The Thief Lord			英语	8410				暂无						美国		
不良男女	电影	喜剧	9.0		2010-11-04		불량남녀			韩语	1514				暂无						韩国		
魂断蓝桥	电影	战争/剧情/爱情	9.5		1940-05-17		Waterloo Bridge			英语	443				暂无						美国		
幽灵战队	电影	动作/科幻	0.0		2009-12-22		Ghost Machine			英语	10285				暂无						英国		
初恋这件小事	电影	剧情/喜剧/爱情	9.5		2012-06-05		สิ่งเล็กเล็กที่เรียกว่า...รัก			泰语	467				暂无						泰国		
一夜情	电影	剧情/爱情	8.3		2010-05-04 周二		원 나잇 스탠드			韩语	3692				暂无						韩国		
放荡不羁的美国	电影	纪录	6.0		2008-09-05 周五		American Swing			英语	8420				暂无						新加坡	HDNet 	
犬神家族	电影	剧情/惊悚	7.3		2006-12-16 周六		犬神家の一族			日语	6490				暂无						日本		
堕落街	电影	剧情/传记	6.8		1981-08-06 周四		We Children from Bahnhof Zoo 			德语	7571				暂无						德国		
革命	电影	战争/历史/冒险/西部	7.3		2011-07-20 周三		Revolution			英语	6469				暂无						美国		
帕戈罗格	电影	剧情/喜剧	0.0		1963-02-19 周二		Laviamoci il cervello			意大利语	10658				暂无						意大利		
无姓之人	电影	剧情/科幻/爱情	9.1		2009-09-12		Mr. Nobody			英语	1344				暂无						加拿大		
白夜行	电影	悬疑	7.9		2009-11-19		백야행 : 하얀 어둠 속을 걷다			韩语	5093				暂无						韩国		
S日记	电影	喜剧/爱情	9.0		2004-10-22		S 다이어리			韩语	1774				暂无						韩国		
菜鸟霹雳胆	电影	动作/剧情/喜剧/惊悚	8.0		1990-12-13 周四		The Rookie			英语	4842	A			暂无						美国		
弃宝之岛：遥与魔法镜	电影	动作/冒险/动画	9.7		2009-08-22 周六		ホッタラケの島 ～遥と魔法の鏡～			日语	208				暂无						日本		
女招待	电影	剧情/喜剧/爱情	7.5		2007-05-25 周五		Waitress			英语	6029				暂无						美国		
咒怨：白老妇	电影	恐怖/惊悚	7.2		2009-06-27		呪怨 白い老女			日语	6813	B			暂无						日本		
战时兄弟	电影	战争/纪录	1.0		2009-03-13 周五		Brothers at War			英语	10253				暂无						美国		
多细胞少女	电影	喜剧/动画	0.0		2006-08-10		다세포소녀			韩语	10763				暂无						韩国		
子狐物语	电影	剧情	8.0		2006-03-18 周六		子ぎつねヘレン			日语	4898				暂无						日本		
去南方	电影	剧情	0.0		2009-12-30 周三		Plein sud			法语	10615				暂无						法国		
燃烧的夜晚	电影	剧情/恐怖/惊悚	0.0		2012-05-02		Burning Bright			英语	10470				暂无						美国		
教室别恋	电影	战争/剧情/爱情	9.2		1995-11-03		Lust och fägring stor			英语	1095				暂无						美国		
迷离感应	电影	剧情/惊悚/悬疑	6.0		2001-03-02 周五		The Caveman's Valentine			英语	8716				暂无						美国		
狂野阿拉伯	英剧	纪录/冒险	9.7		2013-02-22 周五		BBC Wild Arabia 	BBC		英语											英国		
纸牌屋 1990版	英剧	剧情	9.2		1990-02-01 周四		House.of.Cards 1990	BBC		英语											英国		
杰克武士	美剧	动作/魔幻/冒险/动画	9.4		2001-08-10 周五		Samurai Jack	Cartoon Network		英语											美国		
魔鬼小提琴家帕格尼尼	电影	剧情	8.7		2013-10-31 周四		The Devil's Violinist 			英语	2652				暂无						德国		
鹰与鲨鱼	电影	喜剧/爱情	0.0		2007-01		Eagle vs Shark			英语	10600				暂无						美国		
冷冻	电影	剧情/惊悚/冒险/灾难	7.7		2010-02-05 周五		Frozen			英语	5615				暂无						美国		
梨泰院杀人事件	电影	罪案	5.8		2009-09-10		이태원 살인사건			韩语	9070				暂无						韩国		
三女性	电影	剧情	7.0		1977-04-03 周日		3 Women			英语	7199				暂无						美国		
506哨所	电影	恐怖	7.3		2008-04-03		GP506			韩语	6676				暂无						韩国		
哈特的战争	电影	战争/剧情	8.6		2002-02-15 周五		Hart's War			英语	2957				暂无						美国		
疑云密布	电影	剧情/惊悚	0.0		2000-06-02 周五		Under Suspicion			英语	10461				暂无						法国		
不朽	电影	动作/惊悚	1.0		2010-03-24 周三		L'immortel			法语	10232				暂无						法国		
何处寻真相	电影	剧情/惊悚/悬疑	9.6		2005-10-07 周五		Where the Truth Lies			英语	352				暂无						加拿大		
下一站，说爱你	电影	喜剧/爱情	8.6		2009-10-15 周四		รถไฟฟ้า…มาหานะเธอ			泰语	2962				暂无						泰国		
止水之下	电影	惊悚	9.0		2005-10-01 周六		Beneath Still Waters			西班牙语	1665				暂无						西班牙		
水中仙	电影	剧情/爱情	9.8		2010-03-05 周五		Ondine			英语	137				暂无						美国		
变鬼2	电影	喜剧/恐怖	3.2		2005-03-25 周五		Buppah Rahtree Phase 2: Rahtree Returns			泰语	5	B			暂无						泰国		
菊次郎的夏天	电影	剧情/喜剧	9.6		1999-05-20		菊次郎の夏			日语	245				暂无						日本		
大企业	电影	纪录	8.5		2003-09-10 周三		The Corporation			英语/西班牙语	3102				暂无						加拿大		
复制人	电影	动作/科幻/惊悚	0.0		2001-06-14 周四		Replicant			英语	10518				暂无						美国		
孝子洞理发师	电影	剧情/喜剧	7.8		2004-05-05		효자동 이발사			韩语	5439				暂无						韩国		
吸血鬼大电影	电影	喜剧/恐怖	6.0		2009-12-04 周五		Transylmania			英语	8627				暂无						美国		
霍乱时期的爱情	电影	剧情/爱情	8.8		2007-07-12 周四		Love in the Time of Cholera			英语	2165				暂无						美国		
黑色海洋	电影	剧情	9.2		2010-07-01 周四		Noir Océan			法语	1200				暂无						法国		
愿嫁金龟婿	电影	剧情/喜剧/爱情	8.0		1970-07-02 周四		How.To.Marry.A.Millionaire			英语	4904				暂无						美国		
杀戮都市	电影	历史/悬疑	8.8		2011-01-29 周六		GANTZ			日语	2228				暂无						日本		
再也不绑架了	日剧	剧情/喜剧	9.2		2012-01-03 周二		Mou Yuukainante Shinai	富士		日语											日本		
杀戮都市-完美答案	电影	科幻/悬疑	8.5		2011-04-23 周六		GANTZ-PERFECTANSWER			日语	3095				暂无						日本		
彼时生命	电影	剧情	7.7		2012-05-26 周六		Antoki no Inochi			日语	5583				暂无						日本		
温柔时刻	日剧	剧情	9.5		2005-01-03 周一		Yasashii Jikan	富士		日语											日本		
连体阴	电影	剧情/恐怖/惊悚	9.0		2007-03-29 周四		Alone			泰语	1605				暂无						泰国		
战略大作战	电影	动作/战争/喜剧/冒险	8.8		1970-06-23		Kelly's Heroes			英语	2356				暂无						美国		
救赎之路	电影	剧情/惊悚	6.7		2007-11-01 周四		Reservation.Road			英语	7756				暂无						美国		
楢山节考 今村昌平导演版本	电影	剧情	9.5		1985-02-06 周三		The Ballad Of Narayama 1983 Masters of Cinema			日语	504				暂无						日本		
极度空间	电影	动作/科幻/恐怖	8.2		1988-11-03 周四		They Live			英语	4047				暂无						美国		
辛巴达	英剧	魔幻/冒险	7.8		2012-07-08 周日		Sinbad	Sky		英语											英国		
走进酒吧的女孩	电影	剧情/魔幻	6.0		2011-03-11 周五		Girl Walks Into A Bar			英语	8692				暂无						美国		
奥特曼传奇	电影	动作/剧情/偶像/青春/科幻/动画	8.8		2012-03-24 周六		ULTRAMAN SAGA ウルトラマンサーガ			日语	2150				暂无						日本	日本圆谷制作株式会社	
异形浩劫	电影	科幻/恐怖	7.5		2006-10-31 周二		Warriors of Terra			英语	6096	B			暂无						加拿大		
失落的世界	美剧	科幻/冒险	9.2		1999-02-10 周三		The.Lost.World	其他		英语											美国		
沉睡的美人	电影	剧情	6.0		2012-02-07 周二		Bella.addormentata			意大利语	8643	B			暂无						意大利		
血海山河	电影	动作/战争/剧情/历史/冒险	9.3		1979-05-15 周二		Zulu Dawn			英语	979				暂无						美国		
爱与荣耀	电影	战争/剧情/爱情	8.5		2013-01-01 周二		Love and Honor			英语	3151				暂无						美国	Dutch FilmWorks (DFW) 	
情书	电影	剧情/爱情	9.5		1995-03-25 周六		Love Letter			日语	276				暂无						日本		
特攻无间	电影	动作/惊悚	7.5		2006-03-02 周四		Attack Force			英语	6119				暂无						美国		
BBC: 美国的未来	英剧	历史/纪录	9.1		2008-10-10 周五		BBC The American Future: A History	BBC		英语											英国		
众神与将军加长版	电影	动作/战争/剧情/历史	9.3		2003-02-05 周三		Gods.and.Generals			英语	842				暂无						美国		
怒海沉尸	电影	剧情/惊悚/罪案	8.0		1970-02-04 周三		Purple.Noon			法语	4706				暂无						法国		
请勿拍摄!!偶像内幕	日剧	偶像/纪录/真人秀/励志	7.5		2012-01-13 周五		撮らないで下さい!!グラビアアイドル裏物語 	东京台		日语											日本		
给桃子的信	电影	动画	8.9		2012-04-21 周六		Momo e no Tegami/A Letter to Momo 			日语	1392				暂无						日本	角川映画	
恒河	英剧	纪录	8.6		2007-02-01 周四		BBC.Ganges	BBC		英语											英国		
基督教历史	英剧	纪录	9.5		2010-02-03 周三		BBC A History of Christianity	BBC		英语											英国		
Another	电影	恐怖/惊悚	5.6		2012-08-04 周六		Another			日语	8988				暂无						日本	东宝/角川	
俄宫秘史	电影	战争/剧情/历史/传记	7.5		1971-11-29 周一		Nicholas and Alexandra			英语	6120				暂无						英国		
第55届格莱美颁奖典礼	美剧	真人秀	9.4		2013-02-11 周一		The 55th Annual Grammy Awards 2013	CBS		英语											美国		
救赎	电影	剧情/喜剧	7.6		2013-01-16 周三		Straight As			英语	5777				暂无						美国	The Group Films	
狼的孩子雨和雪	电影	剧情/动画	9.2		2012-07-21 周六		Okami Kodomo no Ame to Yuki			日语	606				暂无						日本	东宝	
挡不住的爱妹	电影	剧情/喜剧/爱情	6.0		2000-06-16 周五		Boys and Girls			英语	8522				暂无						美国		
海阔天空	电影	剧情	8.0		1992-02-21 周五		Radio Flyer			英语	4988				暂无						美国		
